epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3452.44,1.23184,1.52674,0.00664,0.65443,0.52859,0.57737,0.4086,1.27578,1.2277,0.01029,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,6736.06,1.36877,1.46358,0.00808,0.66943,0.52369,0.58003,0.41057,1.31132,1.24334,0.01072,0.0197993,0.00659977,0.0197993,0.00659977,0.0197993,0.00659977,0.0197993,0.00659977
3,9582.69,1.4956,1.65311,0.0094,0.63872,0.47469,0.5206,0.36056,1.39223,1.36965,0.01196,0.0294033,0.00980112,0.0294033,0.00980112,0.0294033,0.00980112,0.0294033,0.00980112
4,12333.9,1.55535,1.73703,0.01002,0.64093,0.52119,0.55807,0.39312,1.34698,1.27915,0.0112,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,14967.2,1.50615,1.62922,0.00945,0.69923,0.5285,0.59271,0.42504,1.3081,1.21645,0.01063,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,17636.2,1.48321,1.57727,0.00914,0.70759,0.53753,0.60579,0.43895,1.276,1.18801,0.01016,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,20270.2,1.46129,1.53651,0.00896,0.69825,0.56101,0.61715,0.44847,1.25654,1.172,0.00992,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,22942.9,1.4474,1.51046,0.00879,0.71864,0.5532,0.62221,0.45416,1.24503,1.15903,0.00977,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,25599.1,1.44123,1.4892,0.0087,0.72867,0.5533,0.62459,0.45669,1.24234,1.15079,0.00972,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,28280,1.42717,1.46975,0.00864,0.72748,0.55728,0.62825,0.46037,1.23488,1.15053,0.00962,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
