epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6261.89,1.22569,2.1653,1.59638,0.00663,0.52524,0.65374,0.52988,0.57667,0.40928,0.64343,0.51669,0.55469,0.3594,1.2831,2.24957,1.23832,0.01043,0,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,12361.9,1.36822,2.34835,1.43804,0.00812,0.28852,0.67577,0.52224,0.57726,0.4086,0.66728,0.499,0.55123,0.35742,1.31517,2.28463,1.24589,0.01096,0,0.0197993,0.00659977,0.0197993,0.00659977,0.0197993,0.00659977,0.0197993,0.00659977
3,17782.8,1.49264,2.52892,1.62075,0.00941,0.33686,0.64462,0.48801,0.53233,0.36495,0.6379,0.47516,0.51471,0.33006,1.39829,2.39239,1.33774,0.01213,0,0.0294033,0.00980112,0.0294033,0.00980112,0.0294033,0.00980112,0.0294033,0.00980112
4,23201.6,1.5539,2.61513,1.70339,0.01003,0.35488,0.67616,0.51292,0.57123,0.39846,0.66684,0.50015,0.54858,0.35628,1.34671,2.31638,1.26317,0.01128,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,28683.6,1.50567,2.53977,1.60837,0.00947,0.33036,0.70574,0.52511,0.59582,0.42115,0.69595,0.50984,0.57092,0.37551,1.30582,2.26312,1.20352,0.0107,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,34493.6,1.4816,2.49762,1.56088,0.00916,0.31686,0.70347,0.54303,0.60734,0.43939,0.69533,0.52436,0.5818,0.38645,1.27707,2.22139,1.17315,0.01028,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,39940.8,1.46174,2.46511,1.52206,0.00902,0.30592,0.71286,0.55742,0.62158,0.45242,0.71035,0.53973,0.59591,0.39769,1.2632,2.19457,1.15569,0.01005,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,45405.8,1.44731,2.44358,1.50266,0.00883,0.30098,0.7209,0.55885,0.62472,0.45607,0.71601,0.54007,0.59804,0.40053,1.25246,2.18214,1.14553,0.00988,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,51098.6,1.44182,2.42704,1.48179,0.00875,0.29443,0.70992,0.56278,0.62837,0.46033,0.70767,0.54393,0.6025,0.40404,1.24647,2.17464,1.13816,0.00979,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,56957.7,1.42763,2.41045,1.46599,0.00868,0.28986,0.72429,0.55664,0.62969,0.46078,0.72569,0.5411,0.60543,0.40527,1.24278,2.17082,1.13276,0.00975,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
